mode,n,dev_mean,dev_sd,x2_mean,x2_sd,admitted_mean,faces_mean,runtime_mean,max_depth_mean
baseline_q10,10,6.583,0.2611861830614746,0.15205,0.0088713333583828,187.7,1002.2,25.99,10.1
perm_bh_k4_q15,10,7.144499999999999,0.3681419563157668,0.16943,0.0136935548505289,143.1,927.2,14.62,6.8
