gx,gy,wala,wac,g_hat,f_true
0.008333333333,0.008333333333,0.5,2.641666667,-372.8588733,-0.8640915728
0.008333333333,0.025,0.5,2.725,-404.7774038,-7.297505575
0.008333333333,0.04166666667,0.5,2.808333333,-436.6959344,-20.99148245
0.008333333333,0.05833333333,0.5,2.891666667,-468.6144649,-39.32938755
0.008333333333,0.075,0.5,2.975,-500.5329954,-59.03741802
0.008333333333,0.09166666667,0.5,3.058333333,-532.4515259,-77.40011661
0.008333333333,0.1083333333,0.5,3.141666667,-564.3700564,-92.82658137
0.008333333333,0.125,0.5,3.225,-596.2885869,-104.7546174
0.008333333333,0.1416666667,0.5,3.308333333,-626.8253178,-113.242574
0.008333333333,0.1583333333,0.5,3.391666667,-657.3620487,-118.5668626
0.008333333333,0.175,0.5,3.475,-687.8987795,-120.9571887
0.008333333333,0.1916666667,0.5,3.558333333,-718.4355104,-120.4696915
0.008333333333,0.2083333333,0.5,3.641666667,-748.9722413,-116.9643458
0.008333333333,0.225,0.5,3.725,-779.5089721,-110.1773951
0.008333333333,0.2416666667,0.5,3.808333333,-810.045703,-99.91468771
0.008333333333,0.2583333333,0.5,3.891666667,-803.3264582,-86.39272215
0.008333333333,0.275,0.5,3.975,-833.9876731,-70.67243327
0.008333333333,0.2916666667,0.5,4.058333333,-864.648888,-54.95602846
0.008333333333,0.3083333333,0.5,4.141666667,-895.3101029,-42.37490881
0.008333333333,0.325,0.5,4.225,-925.9713177,-36.05007366
0.008333333333,0.3416666667,0.5,4.308333333,-956.6325326,-37.75623696
0.008333333333,0.3583333333,0.5,4.391666667,-987.2937475,-47.03733289
0.008333333333,0.375,0.5,4.475,-1017.954962,-61.44156142
0.008333333333,0.3916666667,0.5,4.558333333,-950.6579642,-77.69228369
0.008333333333,0.4083333333,0.5,4.641666667,-883.360966,-92.95073879
0.008333333333,0.425,0.5,4.725,-816.0639677,-105.4734802
0.008333333333,0.4416666667,0.5,4.808333333,-748.7669695,-114.5811994
0.008333333333,0.4583333333,0.5,4.891666667,-681.4699713,-120.2683729
0.008333333333,0.475,0.5,4.975,-614.1729731,-122.7895217
0.008333333333,0.4916666667,0.5,5.058333333,-546.8759748,-122.3762565
0.008333333333,0.5083333333,0.5,5.141666667,-540.9122608,-119.0956993
0.008333333333,0.525,0.5,5.225,-493.2764014,-112.8166181
0.008333333333,0.5416666667,0.5,5.308333333,-445.640542,-103.2696515
0.008333333333,0.5583333333,0.5,5.391666667,-398.0046825,-90.22412051
0.008333333333,0.575,0.5,5.475,-380.8969009,-73.81160652
0.008333333333,0.5916666667,0.5,5.558333333,-333.2610415,-54.95682646
0.008333333333,0.6083333333,0.5,5.641666667,-285.6251821,-35.70977599
0.008333333333,0.625,0.5,5.725,-212.3790604,-19.11422478
0.008333333333,0.6416666667,0.5,5.808333333,-180.900011,-8.352190339
0.008333333333,0.6583333333,0.5,5.891666667,-84.79534612,-5.416992117
0.008333333333,0.675,0.5,5.975,11.30931872,-10.12669002
0.008333333333,0.6916666667,0.5,6.058333333,86.52328613,-20.21430485
0.008333333333,0.7083333333,0.5,6.141666667,39.36301083,-32.42436693
0.008333333333,0.725,0.5,6.225,-7.797264462,-43.8120712
0.008333333333,0.7416666667,0.5,6.308333333,-54.95753976,-52.49117618
0.008333333333,0.7583333333,0.5,6.391666667,42.26069027,-57.67304086
0.008333333333,0.775,0.5,6.475,63.02347654,-59.2993961
0.008333333333,0.7916666667,0.5,6.558333333,57.91686693,-57.61972215
0.008333333333,0.8083333333,0.5,6.641666667,75.3785868,-52.89032989
0.008333333333,0.825,0.5,6.725,102.2216763,-45.21769449
0.008333333333,0.8416666667,0.5,6.808333333,135.9191605,-34.5132853
0.008333333333,0.8583333333,0.5,6.891666667,169.6166448,-20.54208771
0.008333333333,0.875,0.5,6.975,193.9327593,-3.083521217
0.008333333333,0.8916666667,0.5,7.058333333,175.0412403,17.76287081
0.008333333333,0.9083333333,0.5,7.141666667,156.1497213,41.1525246
0.008333333333,0.925,0.5,7.225,137.2582023,65.13426179
0.008333333333,0.9416666667,0.5,7.308333333,118.3666833,86.70593491
0.008333333333,0.9583333333,0.5,7.391666667,99.47516432,102.5827685
0.008333333333,0.975,0.5,7.475,80.58364532,110.5032012
0.008333333333,0.9916666667,0.5,7.558333333,61.69212632,110.3064204
0.025,0.008333333333,1.5,2.641666667,-370.1324677,-9.16747797
0.025,0.025,1.5,2.725,-358.2628109,-11.45467449
0.025,0.04166666667,1.5,2.808333333,-390.1813414,-21.62161862
0.025,0.05833333333,1.5,2.891666667,-422.0998719,-37.76279081
0.025,0.075,1.5,2.975,-454.0184024,-56.72171
0.025,0.09166666667,1.5,3.058333333,-485.9369329,-75.42289511
0.025,0.1083333333,1.5,3.141666667,-517.8554635,-91.7608063
0.025,0.125,1.5,3.225,-549.773994,-104.7624114
0.025,0.1416666667,1.5,3.308333333,-580.3107248,-114.2681662
0.025,0.1583333333,1.5,3.391666667,-610.8474557,-120.4995882
0.025,0.175,1.5,3.475,-641.3841866,-123.7287351
0.025,0.1916666667,1.5,3.558333333,-671.9209174,-124.0949461
0.025,0.2083333333,1.5,3.641666667,-702.4576483,-121.5398461
