id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
2212,0.921875,0.78125,384.6030023,384.6030023,6,2019,1995,1,1,1,0,0,1,636.2734438,12.42269365,250.8983021,0.00241402729,0,81.60488193,242,242,0.001571651323,0.001571651323,4.038131454
2213,0.9375,0.796875,354.2707524,354.2707524,6,2019,1891,1,1,1,0,0,1,170.992734,-19.87842776,121.0327135,0.00241402729,0,20.79015628,273,273,0.005848201713,0.005848201713,12.23716716
2214,0.96875,0.8125,373.0532891,373.0532891,5,1924,1891,1,0,0,0,0,1,1415.019698,0,0,0,0,0,88,44,0.000706703943,0.0007067039386,0.381974012
2215,1,0.78125,336.1174425,-564.9210926,5,1924,1661,0,0,0,0,0,0,554.499109,-922.741891,443.8408169,0.0004496306119,0,0,21,8,0.001803429408,0.001803429407,0.04868077541
2216,1,0.84375,386.7864715,386.7864715,5,1717,1924,1,0,0,0,0,1,851.9355288,0,0,0,0,0,78,41,0.001173797742,0.001173797739,1.943403813
2217,0.953125,0.796875,359.803636,359.803636,6,1891,1994,1,1,1,0,0,1,117.7111565,-10.61247927,91.66407955,0.00241402729,0,44.47938082,251,251,0.008495371461,0.008495371461,16.27681943
2218,0.984375,0.796875,357.1038896,96.72630051,6,1994,1924,0,0,0,0,0,0,19.79742188,-274.2016232,18.89442849,0.00241402729,0,0,65,29,0.05051162752,0.05051162751,1.522736988
2219,0.984375,0.765625,303.4076019,-9.21874468,6,1994,1661,0,0,0,0,0,0,174.6992811,-365.665216,122.8780603,0.00241402729,0,0,25,9,0.005724122009,0.005724122003,0.2256046392
2220,0.953125,0.765625,359.1716374,359.1716374,6,1994,1907,1,0,0,0,0,1,322.4896967,0,0,0,0,0,39,18,0.003100874261,0.003100874254,0.6812492876
2221,0.953125,0.78125,372.3140938,372.3140938,6,2019,1994,1,0,0,0,0,1,1188.232704,0,0,0,0,0,245,124,0.0008415859932,0.0008415859875,1.528284975
2222,0.765625,0.6875,256.8142051,216.1881958,6,1882,1972,0,0,0,0,0,0,50.99778009,-39.41662203,45.40764359,0.00241402729,0,0,16,7,0.01960869666,0.01960869666,0.401131797
2223,0.78125,0.703125,264.7722062,242.8324667,6,1972,1933,0,0,0,0,0,0,109.7221791,-22.38906708,86.74565495,0.00241402729,0,0,17,10,0.009113927632,0.00911392763,0.5229081052
2224,0.796875,0.6875,258.7329016,-145.439311,6,1972,1883,0,0,0,0,0,0,9.337117911,-398.709767,9.131297931,0.00241402729,0,0,31,14,0.1070994293,0.1070994293,0.4342566202
2225,0.78125,0.671875,251.4955554,187.0433574,6,1972,1936,0,0,0,0,0,0,995.8016821,-64.09182798,292.5479288,0.00241402729,0,0,13,6,0.001004216018,0.001004216016,0.8461135539
2226,0.796875,0.578125,197.0661869,197.0661869,6,1886,1943,1,0,0,0,0,1,237.0445471,0,0,0,0,0,298,149,0.004218616342,0.00421861633,2.304154812
2227,0.765625,0.578125,187.0208431,187.0208431,6,1943,1880,1,1,1,0,0,1,2.966321058,-28.60300623,2.945230905,0.00241402729,0,30.07809255,1009,1009,0.337117925,0.337117925,25.45967165
2228,0.765625,0.609375,219.8566832,-132.3162956,6,1943,1708,0,0,0,0,0,0,15.39540629,-375.7362063,14.84373973,0.00241402729,0,0,71,35,0.06495444039,0.06495444038,0.3138164029
2229,0.796875,0.609375,223.3493498,65.72231997,6,1943,1887,0,0,0,0,0,0,233.7360925,-151.6530598,149.424193,0.00241402729,0,0,64,28,0.004278329416,0.004278329409,1.568068089
2230,0.765625,0.5625,194.2555253,64.38785893,6,1880,1968,0,0,0,0,0,0,3.266168616,-118.8466222,3.240617577,0.00241402729,0,0,44,21,0.3061691289,0.3061691289,1.418954127
2231,0.78125,0.578125,201.4804554,201.4804554,6,1968,1943,1,1,1,0,0,1,8.517642226,-4.862903303,8.346032591,0.00241402729,0,42.79938624,477,477,0.1174033815,0.1174033815,27.96373552
2232,0.796875,0.5625,164.6712407,164.6712407,6,1968,1886,1,0,0,0,0,1,13579.84711,0,0,0,0,0,9,3,7.363853154e-05,7.363853077e-05,0.4032684115
2233,0.84375,0.40625,21.97185377,159.6052355,5,1690,1873,0,0,0,0,0,0,590.8556759,88.75310389,466.8335112,0.0004496306119,0,0,2,1,0.001692460682,0.001692460681,0.7188781143
2234,0.78125,0.40625,84.60351833,2.276221666,5,1873,1706,0,0,0,0,0,0,1123.892368,-100.482414,746.6054486,0.0004496306119,0,0,15,7,0.0008897649173,0.0008897649165,0.5537163213
2235,0.78125,0.46875,120.5254531,120.5254531,5,1873,1659,1,0,0,0,0,1,121.095138,0,0,0,0,0,280,141,0.008257969861,0.008257969854,0.5704743525
2236,0.84375,0.46875,73.79546491,91.24942567,5,1873,1705,0,0,0,0,0,0,143521.8379,-6.146080368,2190.109413,0.0004496306119,0,0,2,1,6.967580784e-06,6.967580468e-06,0.01368704588
2237,0.84375,0.5,99.70727048,74.04020369,5,1705,1905,0,0,0,0,0,0,1811.459756,-36.62698955,998.3312082,0.0004496306119,0,0,9,4,0.0005520409694,0.0005520409686,1.102739355
2238,0.8125,0.46875,94.21920404,93.62371081,5,1905,1873,0,0,0,0,0,0,20724.75003,-15.3301842,2008.507642,0.0004496306119,0,0,4,2,4.825148669e-05,4.825148572e-05,0.09262013294
2239,0.78125,0.5,133.7871785,133.7871785,5,1905,1659,1,0,0,0,0,1,46.2566024,0,0,0,0,0,389,200,0.02161853548,0.02161853547,0.2797545652
