mode,n,mean_false_admissions,median_false_admissions,max_false_admissions,probability_any_admission,mean_faces,mean_runtime_seconds
baseline,34,121.94117647058823,45.5,1001,1.0,708.9705882352941,4.529117647058824
perm_bh_k05,34,0.029411764705882353,0.0,1,0.029411764705882353,128.1764705882353,2.0623529411764707
perm_bh,34,0.0,0.0,0,0.0,128.6764705882353,2.3844117647058822
perm_lfdr,34,0.0,0.0,0,0.0,128.08823529411765,2.2923529411764707
