mode,n,mean_false_admissions,median_false_admissions,max_false_admissions,probability_any_admission,mean_faces,mean_runtime_seconds
baseline,34,17.5,14.0,158,1.0,217.14705882352942,2.0905882352941174
baseline_k4,34,29.235294117647058,12.5,224,1.0,231.38235294117646,1.9908823529411763
perm_bh_k05,34,0.029411764705882353,0.0,1,0.029411764705882353,128.1764705882353,2.2385294117647057
perm_bh,34,0.0,0.0,0,0.0,128.26470588235293,2.231470588235294
