metric,mean_paired_difference,ci_2_5,ci_97_5,permutation_better_splits,permutation_worse_splits
deviance_per_pool,0.31401053535087253,0.232782630136237,0.3970040438642502,0,10
x2_per_information,0.006205089269505221,0.004026268643521613,0.008247262978946693,1,9
