rep,dev_rec,dev_marg,nll_rec,nll_marg
1,1.2295916918535872,1.2368674229274856,0.942542247131025,0.9444911123835871
2,1.1727316104442855,1.1886484464670128,0.9148658064650423,0.9145239618902622
3,1.1494562401270747,1.1684558444516702,0.9140527782448095,0.9154694752335442
4,1.3715079642890928,1.4036718670280532,0.955412743826401,0.9594910366098103
5,1.2358287106350152,1.264047539584325,0.9313683539998817,0.9354608760953255
6,1.0981376693417233,1.0984294453983219,0.9204567870277931,0.9195239689326533
7,1.0850584943548145,1.0854841088586122,0.9193152708148766,0.9168376561063721
8,1.2952890234096868,1.247283363522538,0.9643386047663329,0.9478906246289512
9,1.140793022261437,1.1740000309442054,0.918119415646459,0.9181662746735606
10,1.1144760694669176,1.1121068735593198,0.9222166122866178,0.9186307370460272
