rep,naked,rec,adm
1,1.207638954125851,1.2295916918535872,170
2,1.170224988231475,1.1727316104442855,144
3,1.1716302576006397,1.1494562401270747,161
4,1.3380578323195833,1.3715079642890928,136
5,1.2250770517018605,1.2358287106350152,138
6,1.0968022431697328,1.0981376693417233,159
7,1.0941410833147063,1.0850584943548145,150
8,1.197574693636816,1.2952890234096868,133
9,1.1241134995349675,1.140793022261437,140
10,1.1216341096761173,1.1144760694669176,152
