rep,dev_naked,dev_rec,dev_marg,nll_naked,nll_rec,nll_marg
1,1.1413269216777777,1.1457276376937107,1.1558731576071515,0.9210358457442572,0.923102074947903,0.9234275614224176
2,1.106706539125031,1.101471110450032,1.0944901848748798,0.9226493195906272,0.9250313591300499,0.9210483136601014
3,1.1629553742902747,1.176070132109655,1.2235038270611605,0.921713205433715,0.9245822583595122,0.9280001099757323
4,1.1137163311901428,1.1088496774422225,1.1097819438530483,0.9168840885773665,0.9157967494625258,0.9144477957402194
5,1.096932822308091,1.1129872611022538,1.1094440794053506,0.9184010807014258,0.92270380139072,0.9212084816233524
6,1.1202890425052405,1.1327493883863589,1.1359293319575507,0.9126751678552152,0.9133766086136109,0.9109321618841236
7,1.1917424693334615,1.1884466824466124,1.201188581652458,0.9230614338283333,0.9220234954708806,0.922659008876415
8,1.2111828910873055,1.1909884821113401,1.200176296018138,0.9403301138001098,0.9313565493122153,0.9301052259402341
9,1.1075842865794228,1.1234807695851465,1.127011771164213,0.9124181578670019,0.9171633326563379,0.9137962137909906
10,1.229979941110233,1.225473601828906,1.223540807806765,0.9496004678750978,0.947133932148279,0.9345083236177799
