id,depth,weld,adm,px,py,dh,gt,gh,npool
1040,1,0,0,173.5,6.299499999999999,-0.04261840984832212,0.2791871941553836,-0.19917887861447525,2332
1041,1,0,0,0.0,6.299499999999999,-0.37638785675475034,0.24738535122332905,0.6262565493605052,269
1042,1,0,0,173.5,10.828,0.10065861831579073,-0.014184963106337989,-0.03177460499559004,9
1045,2,0,0,86.75,4.03525,-0.2434091947433057,57.8802637787594,68.46097251246101,8717
1046,2,0,0,86.75,8.563749999999999,0.08514460773797218,-0.05103168573874939,-0.00870901396192636,19
1047,2,0,0,260.25,8.563749999999999,-0.21435056379143147,0.31803495571830354,0.5019730364835482,146
1048,2,0,0,260.25,4.03525,-0.12101667810243798,0.11798303151653045,0.6868294132963229,160
1049,2,0,0,0.0,8.563749999999999,-0.2838541234024304,0.1025327181026956,0.3643459058261236,21
1050,2,0,0,86.75,6.299499999999999,-0.26235521505042825,1.1087633135794022,-0.3068019453512534,977
1051,2,0,0,0.0,4.03525,-2.278096725268512,6.057735047510473,9.194666250806076,40
1052,2,0,0,173.5,4.03525,-0.03666458742533071,0.019902861199625477,0.3396895939786191,966
1053,2,0,0,86.75,1.771,-0.5708693762466513,0.9918070432643162,0.7024849228391759,42
1056,2,0,0,173.5,8.563749999999999,-0.3027971564779587,0.20731424464078785,-0.06598941858115381,22
1058,2,0,0,260.25,6.299499999999999,-0.19754423592053375,0.20864836755163196,0.322874276898915,152
1059,2,0,0,347.0,4.03525,-0.18166591102020432,0.2367689727299762,0.18334207241957756,124
1061,3,0,0,43.375,2.9031249999999997,-0.3348755471640964,8.544055105478037,15.051643111277372,583
1062,3,0,0,43.375,5.167375,-0.3499891574288525,3.777886070358363,-0.26323334399239684,1033
1063,3,0,0,130.125,5.167375,-0.1233748982587494,13.995443006519054,5.190907170646824,5308
1064,3,0,0,130.125,2.9031249999999997,-0.658825559261541,12.422699040471343,20.22040440337878,2349
1065,3,0,0,0.0,5.167375,-1.113584315222437,27.976437865589105,27.080923016928864,1745
1066,3,0,0,43.375,4.03525,-0.738194971729207,215.79180445621023,167.9341147058003,6588
1067,3,0,0,0.0,2.9031249999999997,0.007945388237251112,-0.029046891057987523,0.08686411049257003,103
1068,3,0,0,130.125,7.4316249999999995,-0.13905149481467732,0.31603450340935524,-0.36204093192372966,529
1069,3,0,0,43.375,7.4316249999999995,-0.5863472234573645,1.5272331571035096,2.1411813907305657,69
1071,3,0,0,130.125,9.695874999999997,-0.3048218336979072,0.1913408672081509,-0.1068059770238392,16
1074,3,0,0,0.0,7.4316249999999995,-0.6317330714904555,0.6365443282847103,0.14372718039016874,22
1075,3,0,0,86.75,2.9031249999999997,-0.30165099116804667,20.521006550116,20.56681992362428,2032
1076,3,0,0,43.375,1.771,0.12640134285413973,0.1495964542893944,-0.26865561384352077,57
1078,3,0,0,43.375,6.299499999999999,-0.1837167003516164,0.19578757199087704,-1.095947041294039,120
1079,3,0,0,86.75,7.4316249999999995,-0.43803412446810286,0.4721762827750382,0.8225940793403623,36
1080,3,0,0,130.125,6.299499999999999,-0.1262548932891172,1.229225888131623,-0.6570179568752792,1731
1081,3,0,0,86.75,5.167375,-0.18577367502395395,2.7720492555381497,-1.3543949244121904,2056
1085,3,0,0,173.5,2.9031249999999997,0.4087427488248823,0.3435924889793682,-0.31891316198712616,40
1086,3,0,0,130.125,4.03525,-0.2784118280186182,9.175413302720699,4.524024443402595,3353
1087,3,0,0,173.5,5.167375,-0.08416175354392902,0.10170686703531828,-0.4700733912582109,583
1088,3,0,0,216.875,5.167375,-0.058989086492061554,0.17938335927192384,-0.1701046154857977,916
1089,3,0,0,303.625,5.167375,-0.24651632499354573,0.07700736499276672,0.3472618111918564,146
1090,3,0,0,303.625,2.9031249999999997,-0.07512545054422487,0.006673634489516189,0.22680893623052611,92
1091,3,0,0,216.875,2.9031249999999997,-0.1969193684560969,0.27785778254246907,0.48321019403510945,114
1092,3,0,0,216.875,4.03525,-0.027683443287255322,0.005692498124062695,0.06878745359904315,146
1093,3,0,0,216.875,7.4316249999999995,-0.10043652522780801,0.2211486365933979,-0.6241476440955012,501
1094,3,0,0,216.875,9.695874999999997,-0.34665875685571346,0.17302221226630365,0.22773482468872075,18
1096,3,0,0,303.625,7.4316249999999995,-0.048990091942924474,-0.0026843461894259235,0.015595932810100521,81
1097,3,0,0,173.5,9.695874999999997,-0.26398957780241966,0.15678903512982423,0.026144303553824244,8
1098,3,0,0,216.875,8.563749999999999,-0.21307455498827746,0.08438945529228192,0.07150901065708126,52
1099,3,0,0,173.5,7.4316249999999995,-0.20517968428405794,0.2385693911146518,-0.6914829273264331,232
1100,3,0,0,130.125,8.563749999999999,-0.17471120296233655,0.05416468511813122,-0.043540250759839694,17
1105,3,0,0,260.25,5.167375,-0.26261833025120956,0.2370623282270401,-0.19064060165234764,59
1106,3,0,0,216.875,6.299499999999999,-0.05661339582964112,0.1342343865244402,0.334700294920367,690
1107,3,0,0,260.25,7.4316249999999995,-0.089599390002061,0.06368677468344686,0.3406371189804531,137
1111,3,0,0,303.625,4.03525,-0.0776271303785724,0.03629985985202211,0.3289175595947995,169
1112,3,0,0,347.0,2.9031249999999997,-0.40243363280000705,0.20970206954857673,-0.16176103348605864,22
1113,3,0,0,347.0,5.167375,0.08066692233243453,0.015034814581103007,-0.006970834703331263,9
