id,depth,weld,dh,gt,gh,npool,ipp,tier,x
1040,1,0,0.007567871956459134,0.018008076167461695,0.08974214160480187,2332,7.72215959153589e-06,free d<=7,-4.0
1041,1,0,-0.05646146826898226,-0.02080031202626742,0.012781085975120732,269,-7.732458002329896e-05,free d<=7,-4.0
1042,1,0,0.09967092488735102,-0.013639623631220843,-0.031690490667092064,9,-0.0015155137368023158,free d<=7,-4.0
1045,2,0,-0.0028342103827391084,0.037403535534394905,0.07606971188215539,8717,4.290872494481462e-06,free d<=7,-4.0
1046,2,0,0.05159051688146891,-0.03294875358598759,0.0007575446520036166,19,-0.001734144925578294,free d<=7,-4.0
1047,2,0,-0.09440068790176387,0.08404403349868517,0.1849368126703439,146,0.0005756440650594875,free d<=7,-3.239845968592811
1048,2,0,-0.03349005425257028,0.016467690400418178,0.19228468386637587,160,0.0001029230650026136,free d<=7,-3.9874872891746533
1049,2,0,-0.2742691644806458,0.09650749312935325,0.3547358213517313,21,0.0045955949109215835,free d<=7,-2.3376582601632543
1050,2,0,0.010567720901637448,0.0012223879821249284,0.15293631913300487,977,1.2511647718781252e-06,free d<=7,-4.0
1051,2,0,-2.252603954734487,6.128494972876101,9.657730907045508,40,0.15321237432190254,free d<=7,-0.8147061571401514
1052,2,0,0.004781044361180832,0.002640819698171981,-0.028346949821752787,966,2.7337678034906635e-06,free d<=7,-4.0
1053,2,0,-0.48654777662820703,0.9023972676134235,0.6647713199041618,42,0.021485649228891037,free d<=7,-1.667851518765514
1056,2,0,-0.3270926361828626,0.23555375902612852,-0.08518631429103607,22,0.010706989046642206,free d<=7,-1.9703326416120854
1058,2,0,-0.07381045350324301,0.04532090663326471,0.05357089091273792,152,0.0002981638594293731,free d<=7,-3.525544998715338
1059,2,0,-0.10109583936578903,0.09222877409280272,0.08203759613820694,124,0.00074378043623228,free d<=7,-3.12855524913933
1061,3,0,-0.15960406139678274,15.004457676048332,24.02821115599363,583,0.02573663409270726,free d<=7,-1.5894482519362334
1062,3,0,0.08817815062177316,1.0646693982653233,2.1463434949127986,1033,0.0010306576943517167,free d<=7,-2.9868855501756717
1063,3,0,0.0005543926693407882,0.0015769714082125574,0.13777444779407233,5308,2.970933323686054e-07,free d<=7,-4.0
1064,3,0,0.018703886581251685,0.05586379230953753,-1.1801326122003957,2349,2.3781946491927428e-05,free d<=7,-4.0
1065,3,0,-0.493024232050417,9.021001563256505,0.8080603315229382,1745,0.005169628403012324,free d<=7,-2.2865406732157774
1066,3,0,-0.011448272901517561,0.4634738192835357,-3.8219406155403703,6588,7.035121725615296e-05,free d<=7,-4.0
1067,3,0,-0.1932671140409139,1.9486086774754767,-8.789168037204945,103,0.01891853084927647,free d<=7,-1.7231125925021895
1068,3,0,-0.00018722029056075199,-6.163812031445559e-06,-0.000857769349750015,529,-1.165181858496325e-08,free d<=7,-4.0
1069,3,0,-0.52697648496263,1.3124646348419589,1.8510893957579526,69,0.01902122659191245,free d<=7,-1.7207614808306242
1071,3,0,-0.2751357373484207,0.16425246871090593,-0.1256350221773488,16,0.01026577929443162,free d<=7,-1.988608076938769
1074,3,0,-0.6166677387573325,0.6139597479325491,0.12394338587436948,22,0.027907261269661324,free d<=7,-1.5542827817067948
1075,3,0,0.006344330100544877,0.08367859675490763,-0.32465506558219204,2032,4.118041178883249e-05,free d<=7,-4.0
1076,3,0,0.268979981447111,0.6468749613063665,-0.7505418906886234,57,0.01134868353169064,free d<=7,-1.9450545145133455
1078,3,0,0.0020648087087776134,0.00016756814102336648,0.029487238331057597,120,1.3964011751947206e-06,free d<=7,-4.0
1079,3,0,-0.3039052686348245,0.26344374915103685,0.5975791580012597,36,0.007317881920862135,free d<=7,-2.1356146024377862
1080,3,0,-0.001742231194523434,0.0003205675384378992,-0.019134449670673348,1731,1.8519210770531438e-07,free d<=7,-4.0
1081,3,0,-0.0008292761638067179,2.4380460672546178e-05,-0.0434036392471171,2056,1.1858200716218958e-08,free d<=7,-4.0
1085,3,0,0.42702386425042993,0.4233285443063437,-0.4089024437201658,40,0.010583213607658593,free d<=7,-1.9753824381462184
1086,3,0,0.00341672403858179,0.0014446802451857366,0.20831165737035917,3353,4.308619878275385e-07,free d<=7,-4.0
1087,3,0,0.004482660534484323,0.0009557730654705665,0.054795058050331136,583,1.6394049150438533e-06,free d<=7,-4.0
1088,3,0,0.0004656307355628995,0.00012816619346267544,0.004801410816071439,916,1.3991942517759327e-07,free d<=7,-4.0
1089,3,0,0.15405577662833878,0.1758087468885492,-0.3255318381430925,146,0.0012041694992366383,free d<=7,-2.9193123773622043
1090,3,0,0.030425669819269495,0.0065084486039097555,-0.09821490745144956,92,7.074400656423647e-05,free d<=7,-4.0
1091,3,0,-0.20618672565586124,0.3685711931362903,0.361604026106761,114,0.003233080641546406,free d<=7,-2.4903834628051342
1092,3,0,-0.0008007481819739888,-1.7235870359399996e-05,0.001682246728478276,146,-1.1805390657123285e-07,free d<=7,-4.0
1093,3,0,-0.004609614485823881,0.001173404728206151,-0.03602984665076292,501,2.3421252060003017e-06,free d<=7,-4.0
1094,3,0,-0.33810769928450524,0.16636462516139972,0.22770383940185646,18,0.009242479175633318,free d<=7,-2.034211519269081
1096,3,0,0.0845463495655025,0.03576839771943696,-0.009495849230859221,81,0.00044158515703008596,free d<=7,-3.3549855329425027
1097,3,0,-0.28739033676565745,0.19458305876892368,0.02425273325001598,8,0.02432288234611546,free d<=7,-1.6139849609437356
1098,3,0,-0.11227970793185531,0.028297208193961865,0.020472502219831767,52,0.0005441770806531127,free d<=7,-3.2642597535439353
1099,3,0,0.017911363285872287,0.004231123901718092,0.08899416542635663,232,1.823760302464695e-05,free d<=7,-4.0
1100,3,0,-0.18908509135215892,0.06382501942758267,-0.09481114786647282,17,0.0037544129075048633,free d<=7,-2.4254579657078508
1105,3,0,-0.20414888321609695,0.1602763741573483,-0.20067508319432648,59,0.002716548714531327,free d<=7,-2.5659825025711958
1106,3,0,-0.0034600780795580213,0.0004412365160533227,0.02860307450782784,690,6.394732116714822e-07,free d<=7,-4.0
1107,3,0,0.027589403514298706,0.018308435905169063,-0.11253280775031271,137,0.00013363821828590557,free d<=7,-3.8740693231697767
1111,3,0,0.008870184249339875,0.0010800491955933467,-0.038373465958954966,169,6.390823642564181e-06,free d<=7,-4.0
1112,3,0,-0.37702095946319186,0.1868027211317269,-0.175177375493071,22,0.008491032778714859,free d<=7,-2.0710394825689984
1113,3,0,0.11549945942115905,0.025678433250973853,-0.00881732791037848,9,0.002853159250108206,free d<=7,-2.5446739873639315
1114,3,0,-0.2781182306408075,0.15092442982776788,-0.000770841740809658,35,0.004312126566507654,free d<=7,-2.365308500527908
1117,4,1,0.015886252094444227,0.0037144341606563103,0.0074742311313684695,69,5.3832379139946525e-05,weld,-4.0
1118,4,0,-0.012932649762685974,0.056574436221126234,-0.10286679589989944,167,0.00033876907916842057,free d<=7,-3.4700962363559715
1119,4,1,0.04804672054086902,5.065195348113775,5.088119368185289,3645,0.0013896283533919823,weld,-2.8571013333087567
1120,4,1,-0.8231139847688757,1.2342421436508175,1.136834475229307,70,0.01763203062358311,weld,-1.7536976685382901
1121,4,0,-0.2569350796467332,2.0102888018388967,0.8311115591540954,249,0.008073449003369064,free d<=7,-2.092940893637851
1122,4,0,0.06667881551877532,0.15231966836904576,-0.4093868252739412,71,0.002145347441817546,free d<=7,-2.6685023632252247
1123,4,0,-0.3046048303200724,0.1612074178975842,0.04354028413666633,20,0.00806037089487921,free d<=7,-2.093644973840891
1124,4,1,-0.024619057938753883,0.5927404771791771,0.3988697440800024,2348,0.0002524448369587637,weld,-3.597833507136244
1125,4,1,-0.03341277397667119,1.0681306360420422,3.041055273555685,2245,0.00047578202050870477,weld,-3.322591973693019
1126,4,1,0.015716109788016644,0.09079388852478587,1.4087067367363488,1491,6.089462677718703e-05,weld,-4.0
1129,4,0,0.031680235789385724,0.43982577734277584,1.718635712597461,3477,0.0001264957657011147,free d<=7,-3.8979240117483873
1130,4,0,-2.907188521022624,13.22657671334839,16.196844878774602,61,0.21682912644833427,free d<=7,-0.6638823798543317
1148,4,1,-0.07023573829275409,5.4823454516154015,11.991108483838616,1132,0.004843061353017139,weld,-2.3148800291760465
1149,4,1,0.14647894432654007,9.954003767910763,2.2436331278731814,3175,0.0031351192969797676,weld,-2.5037459288255213
1151,4,1,0.03923937129429353,5.90112294696155,-4.892368786997395,1797,0.0032838747618038674,weld,-2.48361341406619
1164,4,0,-0.03846375067378478,0.08177806735739068,-1.1137229942019076,139,0.000588331419837343,free d<=7,-3.230377957497976
1325,5,1,-0.03982290113474146,0.0691488776319602,1.304763349256973,181,0.00038203799796663094,weld,-3.417893439479563
