id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
7442,0.13671875,0.42578125,-147.6669894,-150.0050751,8,4763,6673,0,0,0,0,0,0,4.505821532e+11,9.801428575e-07,8189.136748,0.000122112991,0,0,9,0,2.219351106e-12,0,2.219351106
7443,0.12890625,0.42578125,-161.0320119,-184.9250924,8,6673,5612,0,0,0,0,0,0,119.442856,-21.27128463,117.725764,0.000122112991,0,0,48,21,0.008372204359,0.008372204348,5.445674298
7444,0.12890625,0.43359375,-162.9302231,-135.4091951,8,6673,3359,0,0,0,0,0,0,57.85993155,30.39169094,57.45399328,0.000122112991,0,0,69,36,0.01728311758,0.01728311757,3.511877914
7445,0.13671875,0.43359375,-149.5652006,-119.9388785,8,6673,5079,0,0,0,0,0,0,69.7692645,32.21327591,69.17987044,0.000122112991,0,0,30,15,0.01433295889,0.01433295889,1.550508013
7446,0.13671875,0.4296875,-148.616095,-148.616095,8,6957,6673,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7447,0.21875,0.1328125,-151.6169191,-151.6169191,7,3990,4472,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7448,0.2109375,0.140625,-121.7189452,-121.7189452,7,4472,4471,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7449,0.21875,0.1484375,-68.57335104,-68.57335104,7,4472,3913,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7450,0.2265625,0.1484375,-36.97922324,-36.97922324,7,3913,4470,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7451,0.2421875,0.1484375,-76.44758839,-76.44758839,7,4470,3918,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
7452,0.2421875,0.1328125,-56.83453567,-56.83453567,7,4470,3279,0,0,0,0,0,0,1e+300,0,1e+300,0,0,0,0,0,0,0,0
