id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
7353,0.0625,0.65234375,-184.380959,-212.4483232,8,6845,3923,0,0,0,0,0,0,45.28195596,-2.240991954,45.0329456,0.000122112991,0,0,64,33,0.0220838517,0.02208385169,12.33620754
7354,0.07421875,0.64453125,-191.3155705,-168.5166986,8,4944,6548,0,0,0,0,0,0,63.87540013,21.5186846,63.3810271,0.000122112991,0,0,62,36,0.01565547923,0.01565547922,9.324825308
7355,0.06640625,0.64453125,-188.0380763,-192.4630335,8,6548,6099,0,0,0,0,0,0,116.6092426,-5.223054653,114.972097,0.000122112991,0,0,45,23,0.00857564956,0.008575649553,8.050967854
7356,0.06640625,0.65234375,-186.0197061,-209.2852198,8,6548,3923,0,0,0,0,0,0,75.98840154,-24.35231681,75.28977484,0.000122112991,0,0,80,45,0.01315990309,0.01315990308,10.01903093
7357,0.0859375,0.6640625,-147.8285246,-166.038712,7,3832,4945,0,0,0,0,0,0,1.859990692,-18.71458158,1.859782396,6.021548133e-05,0,0,301,156,0.5376370992,0.5376370991,1.745634996
7358,0.0703125,0.6640625,-170.1784441,-178.4460178,7,4945,3923,0,0,0,0,0,0,17.5301128,-9.288249751,17.5116278,6.021548133e-05,0,0,396,195,0.05704469854,0.05704469848,45.52521294
7359,0.0703125,0.6796875,-166.1417038,-169.2280506,7,4945,3338,0,0,0,0,0,0,8.711606284,-4.68443435,8.707038802,6.021548133e-05,0,0,475,237,0.1147893933,0.1147893932,84.10200917
7360,0.109375,0.6875,-136.8891023,-117.3856089,6,3363,3989,0,0,0,0,0,0,3.514844826,18.98844464,3.512473687,0.000192060352,0,0,506,254,0.2845075813,0.2845075812,1.989810339
7361,0.09375,0.671875,-144.1820505,-144.3369739,6,3989,3832,0,0,0,0,0,0,6.260851215,-0.6628690689,6.253331826,0.000192060352,0,0,623,312,0.1597226903,0.1597226902,2.489555329
7362,0.078125,0.6875,-162.4952297,-163.627125,6,3989,3338,0,0,0,0,0,0,21.43188357,-2.733534359,21.34402696,0.000192060352,0,0,302,147,0.04665945468,0.04665945464,30.83123565
7363,0.09375,0.703125,-135.9082267,-134.6911334,6,3989,3835,0,0,0,0,0,0,18.58121524,0.3375776594,18.51513998,0.000192060352,0,0,245,121,0.05381779326,0.05381779321,33.54122184
7364,0.0859375,0.6796875,-153.3386401,-142.8720245,7,4945,3989,0,0,0,0,0,0,3.463380455,9.411823228,3.462658321,6.021548133e-05,0,0,386,194,0.2887352438,0.2887352437,1.195523713
7365,0.0703125,0.65625,-172.1968142,-189.1605331,7,3923,6102,0,0,0,0,0,0,62.88954152,-17.69568917,62.65228209,6.021548133e-05,0,0,134,67,0.01590089506,0.01590089504,16.71695716
7366,0.078125,0.6640625,-159.0034843,-116.0934261,7,6102,4945,0,0,0,0,0,0,4.071269818,42.1475231,4.070271977,6.021548133e-05,0,0,162,82,0.2456236125,0.2456236124,1.266063496
7367,0.0859375,0.65625,-149.8468948,-212.2133138,7,6102,3832,0,0,0,0,0,0,7.598807687,-62.58210754,7.595332323,6.021548133e-05,0,0,154,85,0.1315995931,0.1315995931,0.5190319789
7368,0.078125,0.6484375,-177.4926786,-186.912906,7,6102,4944,0,0,0,0,0,0,35.5700912,-10.34558179,35.49406752,6.021548133e-05,0,0,103,58,0.02811350678,0.02811350676,12.89658745
7369,0.07421875,0.65234375,-174.8447464,-166.5248858,8,6548,6102,0,0,0,0,0,0,61.8851561,7.491198353,61.42099875,0.000122112991,0,0,77,44,0.01615896385,0.01615896383,14.27088102
7370,0.06640625,0.6484375,-187.0288912,-202.0249235,8,6845,6548,0,0,0,0,0,0,80.1191424,10.73364789,79.3428843,0.000122112991,0,0,40,20,0.01248141168,0.01248141168,7.388377754
7371,0.005859375,0.509765625,-783.6975026,-971.7508528,9,5784,6683,0,0,0,0,0,0,6218.810886,-198.9758275,5488.251079,2.140496161e-05,0,0,11,7,0.0001608024457,0.0001608024447,0.9861626905
