id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
4851,0.078125,0.828125,-70.80185654,-38.27462064,6,4581,3762,0,0,0,0,0,0,22.39151001,61.33915047,22.37329786,3.635362421e-05,0,0,145,72,0.04465978398,0.04465978396,2.798600468
4852,0.09375,0.90625,-23.07860121,-49.24460492,5,3693,3763,0,0,0,0,0,0,265.5337321,-72.62856856,260.9866506,6.561373191e-05,0,0,33,18,0.003765999868,0.003765999866,0.8032483274
4853,0.03125,0.90625,64.59507173,169.790671,5,3763,3695,0,0,0,0,0,0,2191.555293,-21.08169833,1916.036654,6.561373191e-05,0,0,10,5,0.0004562969518,0.0004562969515,0.6715597571
4854,0.03125,0.96875,-7.692867068,55.18372342,5,3763,3660,0,0,0,0,0,0,1.404726049e+13,1.582798532e-07,15240.71212,6.561373191e-05,0,0,2,0,7.11882577e-14,0,0.0711882577
4855,0.09375,0.96875,42.70289873,243.7828228,5,3763,3707,0,0,0,0,0,0,1429.723598,266.7401207,1307.104753,6.561373191e-05,0,0,12,7,0.000699435892,0.0006994358917,0.5006091278
4856,0.03125,0.875,100.7390411,89.22718564,5,3695,3766,0,0,0,0,0,0,94.99090327,-60.51408931,94.40251996,6.561373191e-05,0,0,96,50,0.01052732383,0.01052732382,12.77040367
4857,0.0625,0.90625,20.75823526,-23.5122811,5,3766,3763,0,0,0,0,0,0,150.7825296,-21.66503015,149.305391,6.561373191e-05,0,0,29,16,0.006632068069,0.006632068065,1.146973054
4858,0.09375,0.875,13.06536819,-40.15283668,5,3766,3693,0,0,0,0,0,0,84.91921459,-22.40570592,84.44867782,6.561373191e-05,0,0,62,28,0.01177589789,0.01177589789,2.076119851
4859,0.0625,0.84375,-13.62155732,-51.63785305,5,3766,3762,0,0,0,0,0,0,38.58317709,16.05186154,38.4857471,6.561373191e-05,0,0,165,86,0.02591803152,0.0259180315,5.55110238
4860,0.078125,0.859375,-0.2780945623,-93.64989164,6,4581,3766,0,0,0,0,0,0,11.18681482,-18.74748978,11.18226721,3.635362421e-05,0,0,118,58,0.08939094959,0.08939094957,3.464886156
4861,0.01953125,0.57421875,-356.8752184,-356.8752184,8,4342,4491,1,1,1,0,0,1,5835.297256,131.1403573,3194.907825,0.0001416271981,0,148.0622381,14,14,0.0001713708756,0.0001713708756,0.6553963095
4862,0.02734375,0.57421875,-437.9708586,-445.0365788,8,4491,4354,0,0,0,0,0,0,1012.294214,-21.05318815,885.3613759,0.0001416271981,0,0,36,17,0.0009878550983,0.0009878550941,4.989900544
4863,0.02734375,0.56640625,-462.6678202,-477.7403232,8,4491,4221,0,0,0,0,0,0,531.2154739,-24.01972253,494.046131,0.0001416271981,0,0,29,18,0.001882475284,0.001882475277,8.485878681
