gx,gy,wala,wac,g_hat,f_true
0.008333333333,0.008333333333,0.5,2.641666667,-378.7326442,-0.8640915728
0.008333333333,0.025,0.5,2.725,-413.0797236,-7.297505575
0.008333333333,0.04166666667,0.5,2.808333333,-447.426803,-20.99148245
0.008333333333,0.05833333333,0.5,2.891666667,-481.7738824,-39.32938755
0.008333333333,0.075,0.5,2.975,-516.1209617,-59.03741802
0.008333333333,0.09166666667,0.5,3.058333333,-550.4680411,-77.40011661
0.008333333333,0.1083333333,0.5,3.141666667,-584.8151205,-92.82658137
0.008333333333,0.125,0.5,3.225,-619.1621999,-104.7546174
0.008333333333,0.1416666667,0.5,3.308333333,-649.9658749,-113.242574
0.008333333333,0.1583333333,0.5,3.391666667,-680.7695499,-118.5668626
0.008333333333,0.175,0.5,3.475,-711.573225,-120.9571887
0.008333333333,0.1916666667,0.5,3.558333333,-742.3769,-120.4696915
0.008333333333,0.2083333333,0.5,3.641666667,-773.180575,-116.9643458
0.008333333333,0.225,0.5,3.725,-803.98425,-110.1773951
0.008333333333,0.2416666667,0.5,3.808333333,-834.7879251,-99.91468771
0.008333333333,0.2583333333,0.5,3.891666667,-828.3411053,-86.39272215
0.008333333333,0.275,0.5,3.975,-916.684274,-70.67243327
0.008333333333,0.2916666667,0.5,4.058333333,-1002.913226,-54.95602846
0.008333333333,0.3083333333,0.5,4.141666667,-1088.296491,-42.37490881
0.008333333333,0.325,0.5,4.225,-1091.846451,-36.05007366
0.008333333333,0.3416666667,0.5,4.308333333,-988.1593032,-37.75623696
0.008333333333,0.3583333333,0.5,4.391666667,-884.4721558,-47.03733289
0.008333333333,0.375,0.5,4.475,-768.7173734,-61.44156142
0.008333333333,0.3916666667,0.5,4.558333333,-799.3700141,-77.69228369
0.008333333333,0.4083333333,0.5,4.641666667,-901.89735,-92.95073879
0.008333333333,0.425,0.5,4.725,-1004.424686,-105.4734802
0.008333333333,0.4416666667,0.5,4.808333333,-1069.062493,-114.5811994
0.008333333333,0.4583333333,0.5,4.891666667,-918.0762151,-120.2683729
0.008333333333,0.475,0.5,4.975,-703.8082248,-122.7895217
0.008333333333,0.4916666667,0.5,5.058333333,-531.0463166,-122.3762565
0.008333333333,0.5083333333,0.5,5.141666667,-663.2337109,-119.0956993
0.008333333333,0.525,0.5,5.225,-770.2331318,-112.8166181
0.008333333333,0.5416666667,0.5,5.308333333,-657.5225475,-103.2696515
0.008333333333,0.5583333333,0.5,5.391666667,-552.897247,-90.22412051
0.008333333333,0.575,0.5,5.475,-448.0092277,-73.81160652
0.008333333333,0.5916666667,0.5,5.558333333,-392.3507061,-54.95682646
0.008333333333,0.6083333333,0.5,5.641666667,-287.4674762,-35.70977599
0.008333333333,0.625,0.5,5.725,-107.939184,-19.11422478
0.008333333333,0.6416666667,0.5,5.808333333,-209.8449524,-8.352190339
0.008333333333,0.6583333333,0.5,5.891666667,-50.4561881,-5.416992117
0.008333333333,0.675,0.5,5.975,35.36102513,-10.12669002
0.008333333333,0.6916666667,0.5,6.058333333,175.8487269,-20.21430485
0.008333333333,0.7083333333,0.5,6.141666667,191.4825937,-32.42436693
0.008333333333,0.725,0.5,6.225,182.9607463,-43.8120712
0.008333333333,0.7416666667,0.5,6.308333333,150.5459213,-52.49117618
0.008333333333,0.7583333333,0.5,6.391666667,16.91923897,-57.67304086
0.008333333333,0.775,0.5,6.475,226.0902346,-59.2993961
0.008333333333,0.7916666667,0.5,6.558333333,276.0601877,-57.61972215
0.008333333333,0.8083333333,0.5,6.641666667,375.5577834,-52.89032989
0.008333333333,0.825,0.5,6.725,369.4371366,-45.21769449
0.008333333333,0.8416666667,0.5,6.808333333,335.9549364,-34.5132853
0.008333333333,0.8583333333,0.5,6.891666667,302.4727362,-20.54208771
0.008333333333,0.875,0.5,6.975,292.3244005,-3.083521217
0.008333333333,0.8916666667,0.5,7.058333333,285.7867948,17.76287081
0.008333333333,0.9083333333,0.5,7.141666667,250.0979828,41.1525246
0.008333333333,0.925,0.5,7.225,214.4091709,65.13426179
0.008333333333,0.9416666667,0.5,7.308333333,178.720359,86.70593491
0.008333333333,0.9583333333,0.5,7.391666667,143.0315471,102.5827685
0.008333333333,0.975,0.5,7.475,107.3427352,110.5032012
0.008333333333,0.9916666667,0.5,7.558333333,71.65392331,110.3064204
0.025,0.008333333333,1.5,2.641666667,-375.1554248,-9.16747797
0.025,0.025,1.5,2.725,-363.3477143,-11.45467449
0.025,0.04166666667,1.5,2.808333333,-397.6947936,-21.62161862
0.025,0.05833333333,1.5,2.891666667,-432.041873,-37.76279081
0.025,0.075,1.5,2.975,-466.3889524,-56.72171
0.025,0.09166666667,1.5,3.058333333,-500.7360318,-75.42289511
0.025,0.1083333333,1.5,3.141666667,-535.0831111,-91.7608063
0.025,0.125,1.5,3.225,-569.4301905,-104.7624114
0.025,0.1416666667,1.5,3.308333333,-600.2338656,-114.2681662
0.025,0.1583333333,1.5,3.391666667,-631.0375406,-120.4995882
0.025,0.175,1.5,3.475,-661.8412156,-123.7287351
0.025,0.1916666667,1.5,3.558333333,-692.6448906,-124.0949461
0.025,0.2083333333,1.5,3.641666667,-723.4485657,-121.5398461
0.025,0.225,1.5,3.725,-754.2522407,-115.8367379
0.025,0.2416666667,1.5,3.808333333,-747.6859344,-106.7263058
0.025,0.2583333333,1.5,3.891666667,-741.2391146,-94.19239178
0.025,0.275,1.5,3.975,-734.9117813,-78.87151634
0.025,0.2916666667,1.5,4.058333333,-821.5635767,-62.45075742
0.025,0.3083333333,1.5,4.141666667,-908.2153721,-47.72488494
0.025,0.325,1.5,4.225,-941.5915165,-37.97458489
0.025,0.3416666667,1.5,4.308333333,-927.3829252,-35.72093911
0.025,0.3583333333,1.5,4.391666667,-811.6281428,-41.52895231
0.025,0.375,1.5,4.475,-683.8057254,-53.71634533
0.025,0.3916666667,1.5,4.558333333,-642.5836709,-69.19494021
0.025,0.4083333333,1.5,4.641666667,-673.2363115,-84.80635109
0.025,0.425,1.5,4.725,-775.7636474,-98.29323424
0.025,0.4416666667,1.5,4.808333333,-840.4014549,-108.5439788
0.025,0.4583333333,1.5,4.891666667,-628.3955212,-115.3112531
0.025,0.475,1.5,4.975,-474.6358919,-118.7779362
0.025,0.4916666667,1.5,5.058333333,-469.2144472,-119.2093582
0.025,0.5083333333,1.5,5.141666667,-569.8758748,-116.7533146
0.025,0.525,1.5,5.225,-587.4643742,-111.3627056
0.025,0.5416666667,1.5,5.308333333,-513.8842036,-102.8137319
0.025,0.5583333333,1.5,5.391666667,-484.1995919,-90.82711198
0.025,0.575,1.5,5.475,-425.58448,-75.32571555
0.025,0.5916666667,1.5,5.558333333,-448.3917774,-56.83207953
0.025,0.6083333333,1.5,5.641666667,-354.8511352,-36.88218167
0.025,0.625,1.5,5.725,-283.4459537,-18.14507043
0.025,0.6416666667,1.5,5.808333333,-265.6078388,-3.892372943
0.025,0.6583333333,1.5,5.891666667,-212.0088061,3.196037644
0.025,0.675,1.5,5.975,-180.5449985,2.283884681
0.025,0.6916666667,1.5,6.058333333,-119.0429164,-5.190157067
0.025,0.7083333333,1.5,6.141666667,-65.97029954,-16.23718473
0.025,0.725,1.5,6.225,-60.5751999,-27.64403442
0.025,0.7416666667,1.5,6.308333333,33.69955266,-37.02167993
0.025,0.7583333333,1.5,6.391666667,73.39297781,-43.13575493
0.025,0.775,1.5,6.475,107.3555451,-45.66873876
0.025,0.7916666667,1.5,6.558333333,149.4809708,-44.7879691
0.025,0.8083333333,1.5,6.641666667,225.4449844,-40.78159498
0.025,0.825,1.5,6.725,219.3243376,-33.84154112
0.025,0.8416666667,1.5,6.808333333,185.8421374,-23.97344372
0.025,0.8583333333,1.5,6.891666667,175.6938017,-11.00380092
0.025,0.875,1.5,6.975,188.8793307,5.31279695
